,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.04310174260683082,0.007344523127879272,0.0066206138077839535,0.005195770978554407,0.006276171108816521,0.011379775650516283,0.014262810287529779,0.010785950360603652,0.01113097544559174,0.010330978868943606,0.011483559548848294,0.013445687879269261,0.0171262442446386,0.0116197752867355,0.010533359069102462,0.012344105505957107,0.011563245491660044,0.014067791575853852,0.015139833504368552,0.011200376247815728,0.01414080512629071,0.013112773409054805,0.014215408853057982,0.013151213957108816,0.010589769361397935,0.00851758234471803,0.007891071585385226,0.014880745810961079,0.009730074989674342,0.00960371539952343,0.00816352510246227,0.01927441240826052,0.011860871845909449,0.014714492602065126,0.018997003583796666,0.01926839542970612,0.021298049339158062,0.01633903241302621,0.01019230739158062,0.013337446187450357,0.013373663323272438,0.012307460104845114,0.014455212568705326,0.010730539828435266,0.006588691901509133,0.009621934764098491,0.006980136471803017,0.012868737015091343,0.013799411931691822
Food ,0.007344523127879272,0.012843237253375696,0.006877965254964257,0.005507919982525813,0.009731492560762507,0.009780913245432885,0.012867683977760126,0.010368317439237489,0.010369068557585384,0.010336240511517077,0.010528736019062748,0.010766672343129469,0.015875596200158857,0.012379107731532966,0.009044054147736295,0.011176693922160445,0.010952285469420174,0.01390500658141382,0.014506052436854646,0.008854509915806195,0.013290661275615566,0.011688250101667989,0.01357607657982526,0.011753894573471008,0.008315131226370133,0.006881935145353457,0.0018821117029388403,0.011231007993645748,0.011187211714058776,0.008562177849086576,0.008647212181096106,0.016524541237490073,0.00976828192692613,0.012153201631453534,0.016389487059571085,0.01634120606354249,0.01838310262271644,0.014151945696584586,0.010586022997617154,0.01398931521048451,0.012843741950754566,0.010543024025416996,0.01305577243526608,0.00885916247498014,0.006368192101667989,0.010422731383637807,0.006432661367752184,0.011425074517871326,0.011452192325655282
Soda ,0.0066206138077839535,0.006877965254964257,0.0302236821350278,0.007214037922160443,0.009249524568705323,0.007703466567116757,0.009787619971405877,0.008508023104050832,0.00956706868308181,0.008327255656870532,0.008854649423351867,0.008182802096902305,0.01216126507386815,0.010313675799841143,0.007328527129467831,0.010722069598093723,0.009082935002382844,0.011712535891977762,0.012372873760127084,0.0068536098109610805,0.010220356003177123,0.008864283069102462,0.011657847364575058,0.008243697302621124,0.00769170963621922,0.0024234728387609213,-0.005778525312152505,0.010143326888006354,0.009551878208101666,0.007462100282764099,0.008146976368546468,0.01182967169499603,0.007782682198570295,0.009338202471803017,0.011420794141382048,0.01147511672120731,0.012794883316918188,0.010510462474980144,0.009485286252581413,0.01175709054805401,0.01011682059412232,0.00847058260841938,0.010656145391580617,0.007354002548054011,0.005156262786338363,0.009161593658459095,0.004948212467037331,0.009425100447974583,0.009372454951548847
Beer ,0.005195770978554407,0.005507919982525813,0.007214037922160443,0.029223289485305788,0.006867661783955519,0.007022322306592534,0.008343756435266084,0.007056965801429707,0.00733459473073868,0.007930780711675934,0.007676801073868149,0.008251385321683876,0.01215345682605242,0.008655427200953136,0.006982944899126292,0.008286821248610007,0.008265104681493248,0.010202073259729945,0.009908533488482923,0.006286449925337569,0.009620967858617947,0.009229922543288322,0.009722970378077839,0.008772179675933281,0.0054978871374106435,0.002536637086576649,0.001480585707704526,0.008933901807783954,0.008184909143764891,0.007185168108022238,0.007055388486100083,0.012602708738681488,0.008199207096108021,0.009113539401111991,0.012912730605242256,0.012699723340746627,0.014495155741064338,0.01079792833042097,0.008092506406671963,0.008397856640190632,0.009005933156473392,0.007923599612390784,0.010225346198570294,0.006495332171564735,0.004291199351866561,0.007384203262907071,0.004823703874503573,0.008513712551231133,0.00888588935822081
Smoke,0.006276171108816521,0.009731492560762507,0.009249524568705323,0.006867661783955519,0.07061390020492454,0.01173010931850675,0.014776812594122318,0.011772118659253374,0.010127019235901508,0.010886836019062747,0.01223042282446386,0.011957623860206514,0.0182070026624305,0.01631473907704527,0.012381391965051622,0.009674208908657665,0.011640144449563142,0.013879179302621128,0.018506687645750596,0.008077141293089753,0.01408620524384432,0.013025783229547259,0.015588177377283555,0.012312485556791099,0.00900137575694996,0.008041778710087372,7.291620174741743e-05,0.01595707419221604,0.017121652800635424,0.011982765166004767,0.01328341244797458,0.016146396811755358,0.01180462856393963,0.013184113548848292,0.016321756740270057,0.015435661301032563,0.017075040598888,0.014438789153296262,0.013211899680698969,0.01880241258935663,0.014970004108022234,0.011696012022239872,0.014058434243050035,0.009375912797458297,0.00823976088324067,0.013471734840349485,0.0061208829340746625,0.012836715318506753,0.01319605565210484
Toys ,0.011379775650516283,0.009780913245432885,0.007703466567116757,0.007022322306592534,0.01173010931850675,0.035600769410643364,0.021834568883240663,0.01716199946624305,0.01609667881810961,0.01718530182049245,0.01516970400635425,0.01916563955520254,0.027199115240667197,0.019077450319301033,0.014659374277998412,0.01869592789833201,0.017975469204130262,0.02174153951389992,0.023191447104050834,0.014831274306592531,0.02260907857664814,0.020473700193804605,0.022198631193010333,0.017276976857823662,0.013722980486100078,0.008753512616362194,0.004486948397140588,0.016422951478951547,0.015537075761715648,0.012705874166799046,0.010725308378077836,0.033412834967434475,0.017268612492454333,0.021792909826846705,0.033855949661636214,0.032729494894360604,0.036304348892772044,0.026145869877680694,0.016131835227958698,0.02289080346306592,0.020636903104050836,0.018696318239872917,0.022186547393169186,0.014548152540111195,0.009654521880857823,0.014188734849880855,0.010090404619539316,0.020464305308975375,0.02000096014614773
Fun  ,0.014262810287529779,0.012867683977760126,0.009787619971405877,0.008343756435266084,0.014776812594122318,0.021834568883240663,0.038868702551231135,0.019859339240667198,0.019712198106433678,0.019975944158856236,0.019121490287529783,0.022178777791898332,0.03177186486417792,0.022934508733915802,0.0174700095694996,0.02143663557744241,0.020609886754567115,0.02497002597617156,0.027185099183478945,0.017862483857029387,0.026397984101667982,0.02436676987450357,0.026930602554408257,0.022465913575853848,0.014344433531374108,0.010770718659253378,0.004344865747418589,0.018257768654487687,0.018203080152501983,0.015189316638602063,0.013465192775218427,0.03903550020015884,0.020407651393169187,0.02557871283240667,0.037812804536934065,0.03784831156155679,0.042040879180301825,0.03044474030818109,0.019902686652899123,0.026373390563939638,0.026339263815726772,0.021544456610007937,0.02733831169499603,0.018042468835583796,0.01147069717553614,0.0182164123335981,0.011704575193010325,0.02396672066084194,0.024689154306592527
Books,0.010785950360603652,0.010368317439237489,0.008508023104050832,0.007056965801429707,0.011772118659253374,0.01716199946624305,0.019859339240667198,0.02959631597140586,0.01570955557744241,0.015634164759332804,0.015648303847498015,0.017128865067513897,0.024639255606036536,0.01850333267037331,0.014466515215250199,0.017817516746624306,0.01666383622557585,0.020351440260524226,0.021905086182684677,0.013790778516282763,0.020985538052422557,0.0189861295822081,0.021359331081810956,0.016790292600476566,0.013362954751389992,0.009722984038125498,-0.0010789790055599705,0.01508387872279587,0.017487559764892767,0.012737575326449565,0.011989831968228752,0.03044198114694201,0.01611542526449563,0.02006786474344718,0.02927052843844321,0.028657869445591736,0.03260239083081811,0.024104197502779975,0.01584905680063542,0.02210563231135822,0.020158617512311353,0.01660065301350278,0.021678984565528196,0.013594601753772837,0.00949166262748213,0.014857335485305797,0.009106537772835585,0.01906813323590151,0.019267079701350276
Hshld,0.01113097544559174,0.010369068557585384,0.00956706868308181,0.00733459473073868,0.010127019235901508,0.01609667881810961,0.019712198106433678,0.01570955557744241,0.02423334725814138,0.016393757099285148,0.015148462570293881,0.016496175154884826,0.024249228238284348,0.01934420012549642,0.014099453251787129,0.018221821267672755,0.01707820521207307,0.021318234791104045,0.02335382078316124,0.014807286424146146,0.021839717761715647,0.01958780335663225,0.022212890054011118,0.016753327463065928,0.013733432325655283,0.009831215914217631,0.0021898211580619526,0.01771081586020651,0.016612708527402705,0.013153245579030977,0.011591143949166006,0.02910268813820492,0.016551926816521047,0.0199266230802224,0.029801401410643365,0.028976078759332807,0.033130890019062754,0.024106974729150115,0.01693236244479746,0.02298888602859413,0.020767655609213665,0.017126276263701348,0.02182722572835584,0.014235335895154884,0.009629849366163623,0.015038051599682287,0.008783780583002382,0.01876555835266084,0.018088217351866557
Clths,0.010330978868943606,0.010336240511517077,0.008327255656870532,0.007930780711675934,0.010886836019062747,0.01718530182049245,0.019975944158856236,0.015634164759332804,0.016393757099285148,0.02504306237331215,0.014159276581413817,0.016170646163621925,0.02355779440190627,0.018701910014297062,0.014509601893566324,0.018859738281175535,0.01692806463224782,0.02146575413185067,0.0229181469070691,0.014408115749007147,0.020866519914217632,0.019415494516282772,0.02157187983161239,0.017357932594122313,0.012390683167593328,0.00743941214932486,0.002630361356632246,0.018045689728355845,0.018161535930103254,0.01294012770770453,0.011073759040508339,0.02825575669261318,0.015627191621922158,0.019795075510722793,0.028545927733121524,0.028107841134233508,0.030825797239078627,0.022686684308181094,0.016097207615567915,0.022156661111993638,0.021183916880063543,0.016942462125496424,0.023233050573471012,0.014349458262112784,0.00918253673709293,0.014346875221604447,0.009506421988880062,0.017960054262112782,0.01870569890071485
