Date,sp_returns
2001-01-03,0.04803474815980002
2001-01-04,-0.010763832786556127
2001-01-05,-0.03264328347830969
2001-01-08,0.007740929338721614
2001-01-09,-0.0026407759428176414
2001-01-10,0.01756968966829331
2001-01-11,0.000945826110694048
2001-01-12,-0.0018903029453311015
2001-01-16,0.00639152711200941
2001-01-17,0.004587437611223155
2001-01-18,0.00995243206160179
2001-01-19,-0.005681006398782218
2001-01-22,0.006645704031353228
2001-01-23,0.007876425139066168
2001-01-24,0.002987500847526414
2001-01-25,-0.002520546870509399
2001-01-26,-0.0011490262312379151
2001-01-29,0.005336323848829538
2001-01-30,0.008784977358126778
2001-01-31,-0.005660624850890583
2001-02-01,0.006641054560834636
2001-02-02,-0.022692544976040785
2001-02-05,0.00734452859908119
2001-02-06,-0.00294584434046663
2001-02-07,-0.005170467194710815
2001-02-08,-0.01165633859402948
2001-02-09,-0.009615642859058027
2001-02-12,0.011453418576890417
2001-02-13,-0.008173907299297456
2001-02-14,-0.0015121617165787526
2001-02-15,0.009692487099940417
2001-02-16,-0.022049127961832893
2001-02-20,-0.015413731756378946
2001-02-21,-0.021574780133049698
2001-02-22,0.0015120316067989137
2001-02-23,-0.006755926059099915
2001-02-26,0.021286672723605404
2001-02-27,-0.00924626097776482
2001-02-28,-0.01969263965222323
2001-03-01,0.0052438563184711295
2001-03-02,-0.007945586227351642
2001-03-05,0.00914146522289605
2001-03-06,0.010742591445126237
2001-03-07,0.007138713371895866
2001-03-08,0.0011020157526346885
2001-03-09,-0.029577878713196837
2001-03-12,-0.042801649505796235
2001-03-13,0.01642915151781943
2001-03-14,-0.019746831487373884
2001-03-15,0.0002553624826739931
2001-03-16,-0.020057113708450314
2001-03-19,0.02034593017805597
2001-03-20,-0.02684300521331795
2001-03-21,-0.01698765641141875
2001-03-22,-0.010155023172901512
2001-03-23,0.030237704365868368
2001-03-26,0.012753239563710217
2001-03-27,0.0204417408532247
2001-03-28,-0.02763954527017609
2001-03-29,0.003825135098525001
2001-03-30,0.010477809003601513
2001-04-02,-0.02133870062568488
2001-04-03,-0.033362366516482056
2001-04-04,0.0041670289729431875
2001-04-05,0.03788877947341085
2001-04-06,-0.015210730042185983
2001-04-09,0.011121499230370091
2001-04-10,0.01824328790841001
2001-04-11,0.0006857645142996915
2001-04-12,0.01816130890474499
2001-04-16,-0.010517213162025252
2001-04-17,0.014115779607068113
2001-04-18,0.03974470443070599
2001-04-19,0.013307079932641575
2001-04-20,-0.009153008748256308
2001-04-23,-0.018152369635918042
2001-04-24,-0.005399136025244444
2001-04-25,0.013077583552558947
2001-04-26,0.0044655473025208
2001-04-27,0.016650402236207063
2001-04-30,0.0069963042345362325
2001-05-01,0.0030793781608688953
2001-05-02,-0.0018106658140653042
2001-05-03,-0.012695127788092009
2001-05-04,0.017011598142802953
2001-05-07,-0.008638103204357539
2001-05-08,-0.00047568049428703407
2001-05-09,-0.004199795947293472
2001-05-10,0.0029442192490223285
2001-05-11,-0.006903483413463696
2001-05-14,0.0019973305139477926
2001-05-15,0.004625534349812499
2001-05-16,0.023575182799146388
2001-05-17,0.0015509265771782577
2001-05-18,0.0045685208998769156
2001-05-21,0.014721536666363555
2001-05-22,-0.0012915251461963484
2001-05-23,-0.01696045904574084
2001-05-24,0.002939977024635887
2001-05-25,-0.011802832937362728
2001-05-29,-0.007962732443131504
2001-05-30,-0.014006587614545762
2001-05-31,0.005187598856203346
2001-06-01,0.006193189545917965
2001-06-04,0.004812878768131856
