,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Clths,0.013532795785544078,0.011162814610007944,0.009346009620333598,0.011360597571088165,0.007185623475774423,0.015540988131850675,0.013476802513105639,0.016505820347895155,0.016500003693407463,0.039052211804606836,0.014757261335980938,0.014273135780778396,0.018558554344718026,0.017471469788721203,0.0145882792279587,0.01855261940587768,0.016686213526608415,0.020920552575059568,0.021819580880063544,0.019272969483717234,0.01836231400794281,0.016847458041302624,0.020341050495631452,0.014572182633836375,0.02194091034471803,0.015686641405877676,0.003990625177124702,0.01911768395075457,0.02658504370293884,0.025802086508339952,0.00784622684511517,0.016119905270849874,0.017478877567911045,0.01566397919142176,0.017092536324066723,0.016469027933280377,0.01622058416521048,0.015275370166799045,0.016244844895949163,0.01473855153455123,0.01869536441938046,0.016446773780778398,0.022664341072279583,0.015337628540111196,0.011857478535345512,0.013523856686258932,0.013828916482922955,0.016083828552819698,0.01214716149960286
Hlth ,0.015612020440031762,0.010296538200158856,0.010021010795869735,0.010192017396346306,0.005252771466243049,0.014442405002382844,0.014073907104050836,0.01648104150754567,0.01500906720413026,0.014757261335980938,0.02982226162192216,0.018913015304209694,0.028000069388403492,0.018348474109610803,0.015354249998411435,0.01648739392533757,0.01647523875297855,0.020562475688641776,0.021305624438443214,0.018476895075456707,0.0178732501477363,0.018032520185861798,0.02018731874027006,0.013463002173153297,0.020961436921366164,0.014429066822875298,0.009822639188244641,0.02026585443526608,0.02281280783320095,0.024100281837966638,0.0072593680683081824,0.01653950269737887,0.017879119505957112,0.01691620165369341,0.01851936641143765,0.018647909934868943,0.018032727612390782,0.016561411215250194,0.016221025293089754,0.014495832042891186,0.019171110185861793,0.016755386616362195,0.017076968649721996,0.014430931955520252,0.012045970163621918,0.013851918608419379,0.013098947936457508,0.016650416066719614,0.01366048362827641
MedEq,0.014920860743447182,0.009988974802223986,0.010309215701350277,0.010211386583002384,0.006763494252581414,0.01445102917553614,0.014072841601270848,0.015831583679110407,0.01455386800635425,0.014273135780778396,0.018913015304209694,0.022542666236695794,0.028607861763304206,0.01770855372200159,0.014830742773629864,0.015618855351866563,0.016468501906274823,0.02003454215091343,0.0204798980714853,0.018909343574265283,0.017397207421763303,0.018597329432883242,0.01917085286417792,0.013642111409054804,0.02028501599364575,0.014186875822081016,0.008856661868149325,0.019617041776012707,0.02340191633677522,0.022474659218427326,0.00756707460841938,0.016036323005559967,0.016455375736298652,0.01636279640031771,0.018539754764098488,0.019133279834789515,0.018189918138204923,0.017116509483717235,0.015344638805401115,0.013295340514694201,0.017299571895154884,0.016032954328832404,0.015960213836378075,0.013541391142176331,0.011436765610802221,0.013094503885623507,0.013269610554408257,0.016319721296266874,0.013456190748212868
Drugs,0.021101131596505163,0.012904080889594912,0.014873368705321683,0.01394980305003971,0.007887854201747419,0.021028766163621922,0.020662150309769655,0.02287189985702939,0.019996987736298648,0.018558554344718026,0.028000069388403492,0.028607861763304206,0.05783508174741858,0.025531326957903097,0.02044538449563145,0.022306755996822875,0.02361970913423352,0.028413800857823666,0.028972582557585374,0.026454493185067512,0.02497777763304209,0.026567073645750602,0.02767315037331215,0.019668906020651314,0.02924325204130262,0.019515879682287532,0.01571527444003177,0.03009604108022241,0.03402364845115171,0.0331845364892772,0.008705681048451153,0.022853413407466244,0.02463551399523431,0.023321293852263704,0.028306729213661633,0.028428030150913417,0.026834778776806987,0.024605949864972197,0.02132616575059571,0.018402160889594912,0.025053544432088955,0.023018921652104847,0.022771560667196183,0.019635766163621917,0.01591524359015091,0.01804934065131057,0.0190302725019857,0.02429337423351866,0.02062520632247815
Chems,0.017429640133439235,0.01338389293725179,0.011674733204130263,0.012425575396346302,0.00806715370293884,0.018093480362192212,0.01740499057029388,0.020462707272438443,0.018977628752978547,0.017471469788721203,0.018348474109610803,0.01770855372200159,0.025531326957903097,0.03240394678951549,0.01959071950436855,0.01924416783478951,0.022636531501191423,0.026852217397934867,0.03234058587450357,0.028188398316123905,0.02623715691183479,0.023882409664813337,0.02706411454169976,0.018709516594122316,0.02951371581254963,0.017948023891977756,0.017152087224781575,0.033225015002382834,0.0401585860079428,0.04172720934710086,0.010347672895949166,0.02054164380619539,0.021488058185861796,0.020064124022239872,0.022518973744241458,0.020975693547259724,0.02231061077680699,0.02085083170770453,0.021308496019062748,0.020782620829229548,0.02444652451787132,0.022397544972200156,0.019564403304209693,0.015534560559173944,0.01472714169340747,0.016903415008737092,0.01715754063860207,0.021179393213661635,0.016992905747418588
Rubbr,0.01470275631135822,0.011700436660841938,0.011073482706910245,0.01100985806830818,0.007802787088165208,0.01436303000158856,0.013399981362986495,0.016066475656870534,0.01545881132644956,0.0145882792279587,0.015354249998411435,0.014830742773629864,0.02044538449563145,0.01959071950436855,0.024362593734710093,0.016308230697378873,0.018150177903097694,0.021982186122319305,0.02321626623669579,0.02237659491660048,0.019494557985702935,0.017959650004765685,0.02108929699444003,0.01510438772359015,0.021524450783161238,0.014098942922954728,0.0093493709070691,0.021187723682287534,0.023992594684670368,0.024901134548054007,0.008675061741064336,0.016027313633042096,0.017460885760127085,0.01617205190468626,0.017541470030182683,0.016736227634630656,0.01724175696266879,0.01617429502779984,0.017192923920571878,0.016484885899920573,0.018303531355043687,0.01718578393963463,0.016361099999999996,0.013390631714058776,0.01228968897855441,0.013863211749007148,0.013758553715647338,0.016561979342335185,0.013237224076250994
Txtls,0.0159061301223193,0.011672575237490075,0.011589829159650513,0.0112445215822081,0.008067352260524224,0.015682851602859413,0.014711191536139794,0.01717658961715647,0.016643051119936452,0.01855261940587768,0.01648739392533757,0.015618855351866563,0.022306755996822875,0.01924416783478951,0.016308230697378873,0.031133264838760923,0.018837325591739472,0.02352668758697379,0.0220052069324861,0.022096279904686256,0.019828606875297857,0.019277250757744235,0.022226830773629865,0.015753164841938047,0.022757469375695,0.015910853598093723,0.0071896503002382844,0.02001543957426529,0.020993004060365365,0.022846027914217634,0.007880278862589357,0.017581640584590948,0.018257240959491657,0.017207505029388406,0.018820339437648922,0.018348130649722003,0.01888095919301032,0.0172239008101668,0.018252995316918184,0.016413156657664813,0.019407971075456717,0.017329294646544875,0.01885797464654487,0.015085123647339157,0.01358937106910246,0.014815383485305793,0.01525588539475774,0.017744688616362195,0.013690679053216838
BldMt,0.016128424837172358,0.012492575575853851,0.010947391072279588,0.011740286854646545,0.0084057842573471,0.01737128023034154,0.01594175585385226,0.018805928173153297,0.017737293383637803,0.016686213526608415,0.01647523875297855,0.016468501906274823,0.02361970913423352,0.022636531501191423,0.018150177903097694,0.018837325591739472,0.025631510969023035,0.026921908927720416,0.02843943764892772,0.026182227879269257,0.023512530738681488,0.02147347393963463,0.02480223214455917,0.017807483590150913,0.027345444400317716,0.01698753900714853,0.010642383836378078,0.026957861628276406,0.03072233463860206,0.03186039085782366,0.009429981278792693,0.018984253534551233,0.020479865361397932,0.018565453320095314,0.020145537855440827,0.019316319745830025,0.020141569372517876,0.018919537505957106,0.019607367736298648,0.01826335322478157,0.02211743251787133,0.020272133494837172,0.019226584694201743,0.015329468578236697,0.0141461847974583,0.015745461064336778,0.01596534657664813,0.0191897996664019,0.015244439428117552
Cnstr,0.01927452816838761,0.015023061353455124,0.01390022366322478,0.013508031590150911,0.009663106732327243,0.02056050489912629,0.01926503541223193,0.022415437003971396,0.021744946100079432,0.020920552575059568,0.020562475688641776,0.02003454215091343,0.028413800857823666,0.026852217397934867,0.021982186122319305,0.02352668758697379,0.026921908927720416,0.041651214417791904,0.0335111594980143,0.03094670548054011,0.027511699996822868,0.025144974109610793,0.029868548343129464,0.02084674279269261,0.03217909142494042,0.0196276450039714,0.01303238553455123,0.0317531991135822,0.03908734193169182,0.037915921432883234,0.011449651841143766,0.022391260028594116,0.02516379878316124,0.022138587872915012,0.024522998214455916,0.02355060502621128,0.024105998907069097,0.022553785448768873,0.02338750260841938,0.02182643562509928,0.026666892409849086,0.024184751342335185,0.023885763955520257,0.018812562789515493,0.016971555056393965,0.018951724295472594,0.020671516371723597,0.022964484740270054,0.01822100883876092
Steel,0.020518225810961077,0.014659403825258141,0.013972456559173948,0.013584025518665607,0.00893361857347101,0.022526350303415408,0.019662866509928514,0.024261931335980938,0.02268300422557585,0.021819580880063544,0.021305624438443214,0.0204798980714853,0.028972582557585374,0.03234058587450357,0.02321626623669579,0.0220052069324861,0.02843943764892772,0.0335111594980143,0.058235790589356635,0.037903869356632244,0.03318447042414614,0.02797924382525814,0.03321746901985703,0.023087890154090553,0.03773646959173947,0.02145251510722796,0.030660108333598092,0.046580717375695004,0.061267132714853054,0.053918154992851464,0.011768105569499605,0.024644141559968226,0.0264845818522637,0.023609476352660846,0.02641410443844321,0.024026237896743442,0.025899465683876095,0.024171971628276407,0.02581723400794281,0.02475203784590945,0.030247786541699774,0.028347994027005552,0.02459101667990468,0.018701484644956308,0.018598549947577436,0.019620864203335982,0.0207911855822081,0.025713078436854647,0.01941633397299444
