,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.056100775490071496,0.00774312479110405,0.00788366210166799,0.006241487059571086,0.007672580220810165,0.013713064568705321,0.016980345806195393,0.012681772174741859,0.012507384578236696,0.011721469879269263,0.014049987081810959,0.016887595606036535,0.023572731782366955,0.012639426252581415,0.012201306085782368,0.013271690104845114,0.012555020549642575,0.015092714619539321,0.016237260074662432,0.012736683434471803,0.016490399509134234,0.015615981359809374,0.015757964575059576,0.014295083202541699,0.010063526848292294,0.009848790030182682,0.011769417423351868,0.015961455542494042,0.01077919879110405,0.010499293761715645,0.008262628268467036,0.024209484459094512,0.013588956454328832,0.017776965771247016,0.02520166964733915,0.02542410569499603,0.02707288102303415,0.020875172752978545,0.011306752686258937,0.014477132271644164,0.014526877027799843,0.014769354100079424,0.016382900339952343,0.012143442006354251,0.007516998030182686,0.011000857275615566,0.008259833215250199,0.013784546484511516,0.01562932121842732
Food ,0.00774312479110405,0.013714656546465444,0.0063988343891977755,0.0057267627704527405,0.00998330462907069,0.009680441296266879,0.012910204257347102,0.010942318989674342,0.010621812536934073,0.010520021293089751,0.010813648781572677,0.011111108759332803,0.017165514077839557,0.012289134576648132,0.009003913639396347,0.010581447046862587,0.010462743345512308,0.013227484333598093,0.013815790328832407,0.008932385372517872,0.0133571296203336,0.012194817817315327,0.013529598474980137,0.011478345918983317,0.008636526697378872,0.006466607536139793,0.0008686678125496423,0.009781926265289913,0.010379008679904685,0.008694282268467036,0.008702086767275616,0.017830101401111992,0.009932506954725973,0.012632019424940428,0.017532229178713263,0.017443240508339956,0.019075102246227164,0.014613325254964256,0.01062443093884035,0.013743372644956314,0.012777082357426526,0.010541148714853057,0.013292366201747419,0.008918604555996822,0.006679128832406672,0.011037450706910248,0.006534337385226371,0.011373827660047657,0.01197508119459889
Soda ,0.00788366210166799,0.0063988343891977755,0.030232354406671963,0.0070283459126290705,0.009135023204130262,0.0074120738014297055,0.009813410953137413,0.008544519669579033,0.009069645394757745,0.007975207064336774,0.00855447752819698,0.007416765531374107,0.011815615299444004,0.009751382840349482,0.00653119282446386,0.01073216562827641,0.008080667018268465,0.010044532516282761,0.010887621177124702,0.005542557944400317,0.009697584357426528,0.008689419059571084,0.011291529880857824,0.007721607320095313,0.006960929202541701,0.0018544584463860228,-0.00335483637172359,0.009043991186656076,0.006777076818109608,0.007171686336775217,0.007834346409849086,0.01263810700714853,0.007745805471008737,0.00912320914853058,0.011535975391580619,0.011509275178713266,0.013003770090548053,0.01056345938681493,0.008841381394757744,0.011332899467831612,0.009630991051628275,0.007882951672756155,0.01030622089277204,0.007002288020651309,0.005347021636219221,0.00922409462271644,0.005390696532168387,0.008944299056393962,0.008739355077045274
Beer ,0.006241487059571086,0.0057267627704527405,0.0070283459126290705,0.02658330309134233,0.008686703980937252,0.007711769569499601,0.008221724352660841,0.007447430335186655,0.007620067621922161,0.008031761105639397,0.008328128057188241,0.008737080343129465,0.012667081537728352,0.008861146217633042,0.00741782377124702,0.007754692969023035,0.008180788536934075,0.009626553029388403,0.010174631498014295,0.006586291704527401,0.009965646233518664,0.00960399454169976,0.009783963971405874,0.008670366074662428,0.005381265200953138,0.002594437674344719,0.0003101262144559171,0.008718346109610801,0.00771375379825258,0.006966933934868943,0.007476367084988087,0.013373587907863386,0.00852979871644162,0.009505008692613184,0.013639350837172357,0.013258495949166005,0.014972143663224783,0.011116609995234313,0.008431360895949166,0.008519910150913423,0.009144761741064338,0.008326629426528991,0.010581870748212867,0.006631874713264495,0.004712989293089753,0.007916766417791897,0.004611909604447973,0.008740240934074663,0.009513165826846704
Smoke,0.007672580220810165,0.00998330462907069,0.009135023204130262,0.008686703980937252,0.0830224968562351,0.010785049077045271,0.013827277672756154,0.011842876880063543,0.009669149814138205,0.010579877285146942,0.011956492250992849,0.011735785458300235,0.018192194921366162,0.016513641579030975,0.010981335216838759,0.008747827734710086,0.011097539227958695,0.013279359216838761,0.01663309925814138,0.007041581156473393,0.013594208783161237,0.011772098163621922,0.01579712397140588,0.011611801086576647,0.0075374904352660844,0.007426544425734711,-0.0008848295599682308,0.015329357928514692,0.01585348911993645,0.01091688409372518,0.01328472521842732,0.015679577494837168,0.011752415142176328,0.012160197278792695,0.015622971083399523,0.014169785361397935,0.0157610805655282,0.0136506122192216,0.013157937321683877,0.01699180577442415,0.01370794130420969,0.011117858926131851,0.013580773877680696,0.008991862870532169,0.008115297569499602,0.01371316382049245,0.0052745106767275625,0.012277144794281174,0.012323727550436855
Toys ,0.013713064568705321,0.009680441296266879,0.0074120738014297055,0.007711769569499601,0.010785049077045271,0.037146173464654486,0.02399525459888801,0.018260077687053212,0.017301587310563932,0.018226127901509133,0.016852909242255756,0.02181486771088165,0.031729938875297854,0.019193023377283555,0.015387284425734706,0.018584880613185067,0.017879910081016682,0.02154276911517077,0.022392705324861005,0.015822304673550433,0.02433192915965051,0.022405510589356636,0.022193076759332797,0.01714877765845909,0.013115945235901509,0.0077735422462271685,0.0049070268911834795,0.015044800991262907,0.015101843104050829,0.013014265604447971,0.009775543971405877,0.03778864588085781,0.01805692884511517,0.024433632721207306,0.0394614247466243,0.03882547820492453,0.041718138528991255,0.030144004301826847,0.016266068174741855,0.022796128339952346,0.020859304740270056,0.02039156688800635,0.02358968515329626,0.015222869448768859,0.009882657633042096,0.014387768562351069,0.010631132794281177,0.02093731566640191,0.021710174649722008
Fun  ,0.016980345806195393,0.012910204257347102,0.009813410953137413,0.008221724352660841,0.013827277672756154,0.02399525459888801,0.04360005718030182,0.02157460432088959,0.020968158316123905,0.02108008393169182,0.021462008514694195,0.026253072009531378,0.03956148834789514,0.023091786004765684,0.0183590020889595,0.02104545031771247,0.021147274312946784,0.02544085644956314,0.0271946809451946,0.019220232041302618,0.028470267998411437,0.02746890610007943,0.027028211024622713,0.022462272374900713,0.013966977958697373,0.010414857442414613,0.0043620061636219214,0.016306092073073868,0.018843611890389193,0.01608024782366958,0.012628992541699758,0.04542146119936457,0.021532240571882442,0.029513755607625106,0.045390553304209685,0.04626107196981733,0.04903535389992057,0.03564244454328831,0.020399281874503575,0.02731411211278793,0.026447207712470208,0.02386011864972201,0.029280244098490872,0.019267559277204128,0.011969376044479745,0.018777829523431294,0.012519888792692611,0.02484962341540906,0.02750155765687053
Books,0.012681772174741859,0.010942318989674342,0.008544519669579033,0.007447430335186655,0.011842876880063543,0.018260077687053212,0.02157460432088959,0.03110909410007942,0.016908592355837963,0.01625145155837967,0.017185632266878477,0.018980769588562353,0.02917388395234313,0.01886391959332804,0.015133364549642567,0.017735909680698967,0.01683103047498015,0.02046782232247816,0.02168647699444003,0.013858613833200948,0.0225547402446386,0.02087468486735504,0.02152594989674345,0.015997221483717235,0.012665011729944399,0.009763144679904686,-0.0005109158506751388,0.01389290912787927,0.018254755672756154,0.013278564276409848,0.011944359555202544,0.034357876994440026,0.01729027036060365,0.022230411107227954,0.03395431960603654,0.033712962319301036,0.03699248345671167,0.027298176953137413,0.016553578656076245,0.023224002509928517,0.020587826649722005,0.017897712190627486,0.022793371749007148,0.014009030487688638,0.01001204244638602,0.015607231739475771,0.0094745210420969,0.019608377328038128,0.020649053166004756
Hshld,0.012507384578236696,0.010621812536934073,0.009069645394757745,0.007620067621922161,0.009669149814138205,0.017301587310563932,0.020968158316123905,0.016908592355837963,0.024796810649721997,0.016877198614773624,0.016011645204130263,0.018484962681493248,0.027801264978554407,0.0193591712025417,0.014466049296266882,0.018240901464654482,0.01692290480063542,0.021333952495631456,0.022745237305798246,0.015548640768864176,0.02282987344241462,0.020878981782366957,0.0220053466878475,0.016765362592533757,0.01337672395869738,0.009302451863383635,0.001962303091342336,0.0163542346115965,0.015259960965845911,0.013326878532168388,0.011592026084193803,0.03225886091183479,0.01738869673709293,0.02191068361556791,0.03345317845274026,0.03280471215250198,0.03651127070373312,0.026630174036536936,0.017051573331215254,0.022791221763304212,0.020903612498808576,0.0181073353963463,0.022869579679110397,0.014973140772041304,0.010035041397934867,0.015591334042891182,0.009187372911834786,0.01907132976012708,0.019795978942017473
Clths,0.011721469879269263,0.010520021293089751,0.007975207064336774,0.008031761105639397,0.010579877285146942,0.018226127901509133,0.02108008393169182,0.01625145155837967,0.016877198614773624,0.025541098540111204,0.015147011329626685,0.017537403536139792,0.026920220179507546,0.018639130570293882,0.014395443302621129,0.018415872659253374,0.01688251285782367,0.0209064612025417,0.021980414174741857,0.014513164762509929,0.02149268293725179,0.020343617146942015,0.021618198570293883,0.017698514732327246,0.012048317567911042,0.007366237070691026,0.0016446007180301835,0.016349027221604452,0.016804506467037333,0.012299043490071484,0.010434613574265287,0.031225143372517864,0.016367616413026212,0.02120901929626687,0.0318230453963463,0.03143104143764893,0.034047375974583,0.02475186851787132,0.01615842030818109,0.02195149724384432,0.021125577332803815,0.017735338417791895,0.023863006284352655,0.014782349193010327,0.009364302779984112,0.014709103073868152,0.00960793850833995,0.018249659297855436,0.020195751950754567
Hlth ,0.014049987081810959,0.010813648781572677,0.00855447752819698,0.008328128057188241,0.011956492250992849,0.016852909242255756,0.021462008514694195,0.017185632266878477,0.016011645204130263,0.015147011329626685,0.03215132775853852,0.021012626039714054,0.03295397784908659,0.01805782997299444,0.01477051604130262,0.016870246335186655,0.015571975358220807,0.019848784311358218,0.021425404282764095,0.014796321200953132,0.021821716613185067,0.020648644937251784,0.01995637531374106,0.01749734641461478,0.012032210528991262,0.0082722410675139,0.006001445534551232,0.014017825245432883,0.01790355614297061,0.014774568870532169,0.011369414805401112,0.03326369931056393,0.016938436638602065,0.022977591618745033,0.0334498298395552,0.03389417146942018,0.03611694244956314,0.027468410014297062,0.015674434166799044,0.020186367243844316,0.019150345880857823,0.01877415991739476,0.021887710837172357,0.014291930522637015,0.00992210751389992,0.01641509312152502,0.009450767167593323,0.01877250064495632,0.01936093311517077
MedEq,0.016887595606036535,0.011111108759332803,0.007416765531374107,0.008737080343129465,0.011735785458300235,0.02181486771088165,0.026253072009531378,0.018980769588562353,0.018484962681493248,0.017537403536139792,0.021012626039714054,0.03301592888959491,0.043233958217633046,0.01926592607466242,0.016778110046068304,0.017602521579030975,0.01773926901350278,0.023149239050039714,0.024761416327243845,0.018341318868943607,0.02634471201588563,0.026682056749801425,0.022370792216044478,0.017583725089753772,0.012658973270849876,0.010622263472597301,0.007499138573471007,0.0165432944177919,0.01933489049404289,0.016478075904686255,0.01014000443208896,0.041504995548848296,0.019629786643367755,0.02832986446703733,0.045084863704527404,0.04521997987291499,0.04765473870691024,0.035554464895949156,0.016729106058776807,0.02296417806195393,0.021078693131056394,0.022669081849086576,0.024322093591739473,0.015711908787926925,0.00996791380460683,0.015164076076250994,0.011420965220015884,0.021912671656870525,0.02471818306274821
Drugs,0.023572731782366955,0.017165514077839557,0.011815615299444004,0.012667081537728352,0.018192194921366162,0.031729938875297854,0.03956148834789514,0.02917388395234313,0.027801264978554407,0.026920220179507546,0.03295397784908659,0.043233958217633046,0.08339478300079425,0.03018260861318506,0.024638202838760913,0.025986665555202532,0.026425305912629076,0.03499974444956316,0.03638077238919778,0.026281753890389198,0.04082675427640984,0.04246772947100873,0.032280215472597296,0.02661368707227959,0.019942945857029392,0.012267480425734712,0.004991577785544081,0.023459080838760922,0.02763737409531374,0.024863054171564734,0.017107841278792692,0.06616045427958696,0.028417082408260522,0.044215421272438445,0.07178674853216838,0.0720318269499603,0.07739151724861,0.05747853664177918,0.02493011407783955,0.035323295845909444,0.03247911463542495,0.03412176835901508,0.036396338821286726,0.022940057348689435,0.015238638316123907,0.024247735671167597,0.017810747105639395,0.0338892790214456,0.03770459467672756
Chems,0.012639426252581415,0.012289134576648132,0.009751382840349482,0.008861146217633042,0.016513641579030975,0.019193023377283555,0.023091786004765684,0.01886391959332804,0.0193591712025417,0.018639130570293882,0.01805782997299444,0.01926592607466242,0.03018260861318506,0.03058811576806989,0.016435962042891182,0.020439391558379667,0.01893450372676727,0.02313086862271644,0.02672406602382843,0.016171071917394756,0.025373300311358215,0.02294929950119142,0.02535253115170771,0.019446789922160444,0.015847170652899124,0.009393885788721204,0.0016090409976171568,0.019698194382843523,0.019803024200158854,0.01665916549324861,0.014869505242255762,0.03363512032088959,0.01851502730420969,0.02313199856711676,0.034224832498808574,0.033224463621922155,0.03804627768705321,0.02834622193486894,0.021545647872915005,0.02863114174741858,0.02384511354090548,0.019547089334392375,0.0246427882827641,0.015605746208101668,0.01147154621127879,0.018168839189833204,0.009675312428911837,0.020944135968228757,0.02244857001111994
Rubbr,0.012201306085782368,0.009003913639396347,0.00653119282446386,0.00741782377124702,0.010981335216838759,0.015387284425734706,0.0183590020889595,0.015133364549642567,0.014466049296266882,0.014395443302621129,0.01477051604130262,0.016778110046068304,0.024638202838760913,0.016435962042891182,0.05129648033518666,0.014064071756949958,0.014492903218427321,0.017411231490071486,0.02048851286258935,0.01347249852581414,0.019800592312946785,0.01888684261477363,0.018028088482922956,0.013229702773629866,0.011720091026211278,0.008824830252581413,0.000521159123113585,0.012780472508339948,0.014445993945988882,0.011983810727561555,0.009592205599682286,0.02971392428435266,0.014590377455123111,0.019341728868943607,0.0297047249451946,0.029132292366957902,0.03256313770293883,0.023779709051628264,0.015075704806989677,0.019771169999999994,0.018274243906274815,0.016475206617950752,0.01913887495472597,0.012144848344718026,0.008541618109610804,0.012515078482922956,0.008667855598093724,0.0163088661350278,0.017779818295472597
Txtls,0.013271690104845114,0.010581447046862587,0.01073216562827641,0.007754692969023035,0.008747827734710086,0.018584880613185067,0.02104545031771247,0.017735909680698967,0.018240901464654482,0.018415872659253374,0.016870246335186655,0.017602521579030975,0.025986665555202532,0.020439391558379667,0.014064071756949958,0.05834680452899126,0.017866579501191426,0.022824351077045266,0.024515136627482132,0.016280686802223988,0.022954808706910246,0.020598681598093728,0.02287798700555996,0.019074623440826048,0.012337193011914216,0.008627947011914218,0.0056423171215250175,0.017718095320095318,0.02043118924384432,0.016773208725972988,0.01303933611596505,0.03076643386338363,0.01877050784432089,0.021336082514694203,0.029842088185861777,0.029784991715647337,0.03301120226211278,0.025925267431294675,0.018125200343129463,0.02544887052422558,0.021287497409054806,0.018144108190627485,0.022509091539316916,0.015618320465448766,0.010239163240667195,0.01516809370135028,0.010319447591739472,0.019375064451151704,0.020044675324861
BldMt,0.012555020549642575,0.010462743345512308,0.008080667018268465,0.008180788536934075,0.011097539227958695,0.017879910081016682,0.021147274312946784,0.01683103047498015,0.01692290480063542,0.01688251285782367,0.015571975358220807,0.01773926901350278,0.026425305912629076,0.01893450372676727,0.014492903218427321,0.017866579501191426,0.022255170605242257,0.02161064766957903,0.023060098255758537,0.015583019208895951,0.02285174979507545,0.020770233798252578,0.022407776330420966,0.018581571526608425,0.012949630017474185,0.011183410617950749,0.0009107619507545649,0.01621330488324067,0.01701893474821287,0.013962848559173948,0.011782035011914218,0.03154472341858617,0.016026219774424148,0.02100304963939635,0.0321899204892772,0.0313052634471803,0.03494209633677522,0.02553267295949166,0.017366257753772835,0.023185037299443996,0.020604908092136612,0.018142091971405875,0.022216041436060364,0.014464181490071485,0.009900823034154089,0.015360847053216838,0.009574012460683083,0.018688183243844317,0.020456921194598892
