,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.0563827497553614,0.0073637469261318535,0.006608850872120729,0.006247167003971406,0.007912871957108814,0.013609415941223195,0.01683695165051628,0.012070253512311358,0.012254201026211277,0.011450114328832403,0.01390789498173153,0.016085321534551226,0.022466855070691016,0.011923902004765683,0.011746551391580616,0.01306865340746624,0.01206941660841938,0.014472386225575852,0.015408250635424938,0.012928449648927724,0.015677484332009533,0.014819144211278787,0.014962367332803816,0.013944420020651311,0.010080179121525019,0.009340600927720415,0.010545506692613185,0.014276982470214455,0.009641291782366957,0.01021407484988086,0.007911524486100078,0.023667785798252575,0.013333938381254963,0.017339953324861008,0.024328026049245423,0.02468695855917394,0.025530090570293883,0.019515003069102463,0.010647513397934868,0.013349995030976964,0.013867242492454331,0.01418837066560763,0.015977727879269266,0.0121309962700556,0.007372871464654486,0.010726829431294679,0.00812830456711676,0.01324930114376489,0.015101600179507544
Food ,0.0073637469261318535,0.01349163701350278,0.0059257308657664825,0.0056794877998411425,0.009693542287529784,0.009301818030182686,0.012530801461477364,0.01060180362192216,0.0101574239872915,0.010082880158856233,0.010450803828435265,0.0103471264177919,0.016190805512311352,0.011419331342335184,0.008389785623510723,0.010084592565528199,0.009849154201747416,0.012746521096108025,0.012751606052422556,0.008901100714853057,0.012756627275615565,0.011303536632247813,0.012898589451945988,0.01121151687053217,0.008194484718030179,0.005606867799841144,-0.0006182153613979342,0.008583771580619536,0.009532440555996821,0.007960345416997618,0.008290787386814935,0.0171165802700556,0.009610178506751388,0.012028187895154885,0.01677738236695791,0.01681734136616362,0.017956756981731537,0.013593393550436851,0.009974632756155677,0.012522669420174744,0.012030079571088164,0.009903546465448769,0.012671260841938047,0.008713775885623512,0.006367300571882446,0.010609283415409055,0.0066004735345512305,0.010734062748212864,0.011581634138204924
Soda ,0.006608850872120729,0.0059257308657664825,0.03339348024781573,0.006954614926131851,0.00973017195869738,0.007207186084193805,0.009475722471803017,0.00816836115011914,0.008292382436854647,0.007507971088165209,0.007903856082605243,0.006947135161239077,0.011244205572676727,0.008832616470214454,0.006040654779984115,0.009715584019062747,0.007662231898332011,0.009261500168387608,0.010326815694996027,0.00525903999364575,0.009088889099285145,0.007356033207307387,0.010709717146942018,0.007322088057188244,0.0061318656838760905,0.002200243710881652,-0.004346313912629074,0.007979660873709294,0.00615302857505957,0.006338597985702938,0.007412479930103257,0.012197127212073071,0.007601308441620334,0.008685568565528195,0.010695477922160444,0.011088396905480538,0.01192329737251787,0.009550590004765687,0.008224135148530579,0.010676682776806988,0.009078435640984909,0.007563362344718029,0.010139194122319301,0.006662010338363783,0.0050717303065925335,0.00895150091818904,0.005061390786338365,0.008322197966640191,0.008159540130262112
Beer ,0.006247167003971406,0.0056794877998411425,0.006954614926131851,0.027737987436060357,0.008909781355043684,0.007525931191421763,0.008173653464654488,0.007172417210484514,0.007022350014297061,0.007827821810961082,0.008490819966640188,0.008542554779984113,0.012522760465448767,0.008358860854646545,0.0072463662573471,0.007263839110405082,0.0075997562271644175,0.00922337221763304,0.009626468093725178,0.006468829493248609,0.009722745628276411,0.009123843302621127,0.00951937891024623,0.008743065158061952,0.005191033650516282,0.002469291145353455,-0.0013863929833200952,0.007736368347895154,0.0077469602271644155,0.006675822306592534,0.007392521486894361,0.013066238665607624,0.008462679950754564,0.00927520324384432,0.013155270122319299,0.01303384067831612,0.014397637722001587,0.010545901077045273,0.008314585315329628,0.007982107018268469,0.009027068262112786,0.008025672765687053,0.010416428435266085,0.006741113308975378,0.00467088183161239,0.007919371617156473,0.004950299181890389,0.00838755448768864,0.009162818247815728
Smoke,0.007912871957108814,0.009693542287529784,0.00973017195869738,0.008909781355043684,0.08246725149960285,0.010410511810961075,0.014204428956314536,0.011798034919777604,0.009523902052422557,0.01058879280381255,0.012506353577442413,0.01174014297378872,0.01765267636060365,0.015772656781572678,0.010836181043685465,0.009363805591739476,0.010871281501191425,0.012688013952343126,0.016164690619539315,0.006230091116759333,0.013437016598888008,0.01139075518189039,0.015312234967434469,0.011725943003971407,0.00788055570929309,0.0070048109737887235,-0.0041945743272438435,0.013397231223193013,0.015953364700555993,0.010954856530579826,0.013024728686258934,0.015550879968228754,0.012059320789515488,0.01207394469579031,0.01576597688006354,0.014541244370135022,0.015420475072279585,0.013291669744241456,0.012839889988880063,0.01617765020492454,0.013066762546465447,0.010935961934868942,0.01356564638602065,0.009171513779189833,0.008064874994440032,0.013581735455123114,0.00528616787132645,0.011961276076250995,0.012592874044479747
Toys ,0.013609415941223195,0.009301818030182686,0.007207186084193805,0.007525931191421763,0.010410511810961075,0.03819054982525815,0.023807768673550434,0.017967001032565526,0.01668304096902303,0.01821803788721207,0.016446498737092932,0.020997537299444,0.030777764630659264,0.01830315593328038,0.014933973796664017,0.018148752851469416,0.017442949698173147,0.020921808300238282,0.02154777718030183,0.015843753057982517,0.023544806886417788,0.02127921319301032,0.021402833899920565,0.01689862426528991,0.012333906155679107,0.007021504718030183,0.0031874239158061974,0.014217877466243051,0.014308787553613976,0.012361742223987289,0.009216885591739476,0.03749894138204923,0.01788934801429706,0.023886727005559966,0.038254198490865775,0.03812728798252581,0.04034425266084194,0.028817674027005552,0.015580959459888797,0.021888336902303414,0.020056484455917394,0.01982745656870532,0.022978126322478164,0.014853136012708499,0.00955676507545671,0.013809235861795072,0.010530655099285148,0.02006137907863384,0.021134633653693405
Fun  ,0.01683695165051628,0.012530801461477364,0.009475722471803017,0.008173653464654488,0.014204428956314536,0.023807768673550434,0.04358763313105639,0.021343209760127088,0.02021345570135028,0.020895722382843526,0.02133823238125496,0.02546661134868943,0.038596201505957106,0.02196451032247815,0.017783759656870526,0.020520617251787138,0.02036930306592534,0.024859410605242254,0.02594416136616362,0.01913762398093725,0.02776330959173948,0.02620386237331215,0.026239807758538514,0.02223316386338364,0.013661930306592532,0.009777840247815724,0.0018808865957108825,0.014659415218427327,0.01714386336457506,0.015636274332009537,0.012252342042891183,0.04516981124702144,0.021107201118347893,0.02906622140111199,0.04451268974106434,0.04590032646862589,0.047860666903891985,0.03435178263383638,0.01975308882605242,0.025972492212867352,0.025417242281175534,0.02327350032724384,0.028778735694996022,0.018961548733915812,0.01180266870214456,0.018342967701350278,0.012680372549642575,0.024098109293089753,0.026743011393169182
Books,0.012070253512311358,0.01060180362192216,0.00816836115011914,0.007172417210484514,0.011798034919777604,0.017967001032565526,0.021343209760127088,0.03129016946147736,0.01653417959650516,0.01606508276409849,0.01690035321048451,0.018233853242255755,0.028363647564733915,0.017832459050039714,0.014503518579825259,0.017350894487688638,0.016184956934074655,0.019462389188244635,0.020690078681493244,0.01376119346147736,0.021877613760127083,0.019876207825258146,0.021011507380460686,0.01609428571564734,0.011949138970611594,0.00925727937092931,-0.0035108383510722785,0.012484234773629869,0.017288898049245424,0.012694336216044476,0.011530132015885625,0.0339626582366958,0.017093360263701347,0.0217827700841938,0.0330697770420969,0.033363620679904685,0.0360577833582208,0.02623656678633837,0.01599963682922955,0.02222344268784749,0.019755866169976165,0.0172086036282764,0.02235221127879269,0.013755118112787927,0.009873439590150914,0.015094818494042893,0.009508823335980935,0.01893479253375695,0.020057490735504366
Hshld,0.012254201026211277,0.0101574239872915,0.008292382436854647,0.007022350014297061,0.009523902052422557,0.01668304096902303,0.02021345570135028,0.01653417959650516,0.023937400978554405,0.016398242986497218,0.015415166300238287,0.017479680311358218,0.026452905102462274,0.01835992024146148,0.013484555974583005,0.017709313328038122,0.016350469912629072,0.020527598306592534,0.02167736233518666,0.015510177067513897,0.02196044845432883,0.01969184035901509,0.02109995529150119,0.01662418903574265,0.012969265833200953,0.00853930440667196,0.0006675812835583773,0.01549240230341541,0.013335552664019057,0.012766184762509928,0.01112073919618745,0.031255629324861006,0.016330313242255756,0.021033572054011115,0.032067706223987295,0.031612424746624304,0.03462542294519459,0.02501160030500397,0.016462352635424938,0.02181449431612391,0.02011810099126291,0.017303715876092137,0.022027144718030175,0.014540731901509132,0.009703652076250992,0.015027440543288318,0.009177030103256552,0.018310427482128674,0.018975749258141387
Clths,0.011450114328832403,0.010082880158856233,0.007507971088165209,0.007827821810961082,0.01058879280381255,0.01821803788721207,0.020895722382843526,0.01606508276409849,0.016398242986497218,0.025375860746624304,0.014691411358220807,0.01669237359809373,0.02584899340746625,0.017740438189038917,0.013739567831612388,0.0180032933121525,0.01620763388403495,0.020358197061159655,0.02097064011119936,0.014350396473391577,0.020842341334392375,0.01940315003971406,0.02099768692613185,0.017625985845909447,0.011606104225575856,0.006873271358220808,0.0010061924225575837,0.01539340440031771,0.015328957664813346,0.01173394859412232,0.010031160317712472,0.030661330325655278,0.015909055710881654,0.020616119142176325,0.030887587355043676,0.030712636362192215,0.03277351504368547,0.02353370096902303,0.015549457315329624,0.020727036187450355,0.020234317760127084,0.017094844638602065,0.02298977070691025,0.014540875615567907,0.009102154964257347,0.014248228387609212,0.009724703431294678,0.017481536965845906,0.019554770532168385
