,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.055760669831612396,0.00846827641143765,0.009074057432883241,0.009971334724384433,0.01244214381572677,0.014597201528196976,0.01767182612867355,0.011244817936457506,0.01317551240667196,0.012095552476568704,0.015774194741858615,0.01778164129626688,0.0246884159030977,0.01133601543923749,0.01233495913582208,0.009328312657664815,0.01143272446544877,0.012946258730738682,0.015323955224781574,0.012009801275615567,0.015527395046862591,0.015148952576648134,0.012228600530579824,0.01332441696743447,0.012850946856235107,0.011429942779984114,0.014401881807783953,0.012708724643367747,0.012171079899920566,0.01395207836536934,0.005010652630659253,0.023784883132644954,0.013785909923749009,0.018422802460683077,0.02728727325019857,0.027510144241461486,0.026296501283558378,0.019030095202541703,0.010941230381254961,0.013322899361397935,0.013953830287529789,0.01567318184590945,0.016539864220810167,0.012355280686258933,0.009472780339952344,0.010260108973788722,0.011165571377283558,0.011491207952343128,0.01539799108975377
Food ,0.00846827641143765,0.014343245971405877,0.006234244012708499,0.00721986575218427,0.007982990163621922,0.009883597010325653,0.010998217429706117,0.008940457901509134,0.009784135758538521,0.010056867698173152,0.011211025210484511,0.011226019768069893,0.015963433691818903,0.009058709294678315,0.008359943389992058,0.007343796953137409,0.007866779490071484,0.009768749275615567,0.010817593591739474,0.008720085459888801,0.011156501537728354,0.0105432235949166,0.009306888905480542,0.009903783445591736,0.009958017274027007,0.007885884352660842,0.0032454920444797454,0.007067607969817315,0.009298206772041302,0.009867726686258935,0.004710801030976965,0.01544313777283558,0.010108591077045275,0.01198245958856235,0.016652619235901507,0.017813138840349477,0.01640785150436854,0.012188780349483718,0.008264412414614774,0.010386384419380465,0.010004575653693407,0.009915484174741859,0.011920653936457503,0.00798223842414615,0.007289455911040507,0.008746714250992852,0.0075539309261318495,0.007832743405877682,0.010595872293884036
Soda ,0.009074057432883241,0.006234244012708499,0.05836072483558378,0.007623121896743445,0.010243386071485307,0.008941694983320094,0.00899192204606831,0.007901098913423348,0.007561781413820493,0.008813509648927721,0.01025461858617951,0.009698246220810168,0.012969457420174742,0.006560362436854645,0.006310621629864973,0.008472359694996026,0.006853685633042098,0.007556269239078633,0.008883969569499602,0.004141433451945986,0.009180508517871326,0.008323777572676728,0.007960026281175533,0.008382679119936459,0.00741312863542494,0.00667064416203336,0.00923994889277204,0.007441924889594918,0.006101431806195395,0.010972936880063544,0.004624432384432089,0.011686971774424144,0.008746793299444002,0.009616043580619538,0.013146644044479744,0.013335375631453535,0.012321326430500396,0.00982037995234313,0.006936636266878474,0.008688194992851474,0.007917506935663222,0.008491988073073865,0.010112947548848289,0.006262586706910244,0.006381899799841142,0.007494343691818905,0.007842752806989674,0.005995393448768865,0.00738523950119142
Beer ,0.009971334724384433,0.00721986575218427,0.007623121896743445,0.03398076616203336,0.007533375936457505,0.008179697223193009,0.01030541516759333,0.006991654965845909,0.00794846497220016,0.009715282007942814,0.010046693899920573,0.010391231542494037,0.014040098301826844,0.007547439664813343,0.0072873588181096086,0.006441274055599681,0.006771431518665606,0.007432654298649723,0.009791707663224783,0.0055194569547259735,0.00966919803335981,0.008777835102462272,0.0072622768451151695,0.008158446657664815,0.006378541868149324,0.006734151898332009,0.006658549162827638,0.007328412633836378,0.003416697231135827,0.009496941288324066,0.004624415537728355,0.013429511409054809,0.00952828636536934,0.010596267702938837,0.01519600769023034,0.015022587355043682,0.015120114023828438,0.010140254821286736,0.007564812986497219,0.006957562141382051,0.008931764902303416,0.009401732759332803,0.011071165872915012,0.007808810535345511,0.006149233810961079,0.008081107210484512,0.006950360225575855,0.006903565887212071,0.009298422400317714
Smoke,0.01244214381572677,0.007982990163621922,0.010243386071485307,0.007533375936457505,0.091699119644162,0.008642295212073076,0.011583790220810164,0.007970284333598093,0.00855003005559968,0.009759026357426525,0.012442658999205717,0.010720484937251785,0.015185852752978558,0.0107673205274027,0.007486079218427321,0.007808241785544085,0.007770064158856234,0.00796784617633042,0.009358820257347099,0.006538380911834787,0.009153963234312947,0.008491778071485306,0.009936501337569499,0.011244597216838762,0.008144296152501984,0.007441656806989675,0.00872541487529785,0.007432052841938047,0.008050287396346304,0.012304756200158853,0.007493391625099284,0.010980008,0.010966126633836377,0.009603183529785545,0.010934197185067515,0.012412306497220017,0.009460755113582213,0.008571587799841145,0.00925987714058777,0.012109045852263703,0.009329141299444002,0.008859439580619537,0.011259188841938045,0.0064579517331215235,0.007745886055599682,0.009362967389992058,0.006422231288324067,0.006145325254964257,0.009427118201747419
Toys ,0.014597201528196976,0.009883597010325653,0.008941694983320094,0.008179697223193009,0.008642295212073076,0.040891631447180284,0.021460160578236697,0.014468039837966636,0.015891568832406666,0.01716119344241461,0.017492408673550435,0.02177494482605242,0.029269569750595713,0.013755101099285145,0.013892226605242254,0.011877890649722,0.013471985413820494,0.016381773340746628,0.017781421972994437,0.015399992397140586,0.01976694172517871,0.018080598929308977,0.014043169010325653,0.013976338932486097,0.013159434833995239,0.009346173693407466,0.0112454634853058,0.0120912424050834,0.012293386474980144,0.013280531084988086,0.00217764422239873,0.031213948937251785,0.015931439437648926,0.022906482481334388,0.035149229289912626,0.03712635555202541,0.03445146790150914,0.024439649976171565,0.012581235154884829,0.015650008489277206,0.015441185938046068,0.018756502932486093,0.02063194542652899,0.013832235926926128,0.010047676937251785,0.010494924800635424,0.01239321270214456,0.01461707006830818,0.01881861915488483
Fun  ,0.01767182612867355,0.010998217429706117,0.00899192204606831,0.01030541516759333,0.011583790220810164,0.021460160578236697,0.03819699707069102,0.01618998270373312,0.016566664177918983,0.01758117218109611,0.01993749099285147,0.02426949920889595,0.034403933998411435,0.014702110004765684,0.015050582735504373,0.012641507539316916,0.014755137810961078,0.017567936095313735,0.019511857423351864,0.016233334290706912,0.02102838068943606,0.0210794464559174,0.015814248273232717,0.014581045992057187,0.014436185372517866,0.012455455154884824,0.011134810065131052,0.011382180835583797,0.012845117845909455,0.014954156270055597,0.0039378545702938835,0.03586877773471009,0.017326697162827635,0.025081723285146938,0.039261904006354244,0.04156158312946783,0.03832938512470214,0.027361339444003176,0.013904509928514695,0.01740627697537728,0.016849115475774425,0.020182214938840346,0.022070582913423356,0.014985778592533756,0.011226914262112787,0.012405504444797455,0.014266958290706911,0.016171811011914217,0.021237155761715646
Books,0.011244817936457506,0.008940457901509134,0.007901098913423348,0.006991654965845909,0.007970284333598093,0.014468039837966636,0.01618998270373312,0.025949299537728347,0.013045015631453532,0.013649563965051627,0.015411362462271637,0.01624450148371723,0.02382000050675139,0.01166480837331215,0.011773180594122318,0.01041497881175536,0.011413167146942016,0.013325589609213663,0.014556137801429702,0.01199695518189039,0.01601859554884829,0.01502168318189039,0.012300395974583005,0.011254194867355039,0.011912261531374105,0.009679252168387607,0.0017340496298649726,0.00847548369658459,0.011971255207307385,0.011332528258935666,0.004432147321683877,0.024842615072279584,0.014399757701350276,0.018099184910246226,0.02647844304845115,0.028849879173947577,0.02669608565845909,0.01942371598093725,0.01129672960285941,0.014203384705321686,0.013575236463860205,0.014756474198570294,0.016807888583002382,0.010843946351072276,0.009564099532962667,0.010581252408260524,0.010482204921366162,0.012295998306592532,0.015445146019062746
Hshld,0.01317551240667196,0.009784135758538521,0.007561781413820493,0.00794846497220016,0.00855003005559968,0.015891568832406666,0.016566664177918983,0.013045015631453532,0.021924085909451947,0.01392427266084194,0.015545059412231929,0.017732733089753778,0.02427798179507545,0.012740817442414615,0.01175733207307387,0.011702746910246226,0.01209736416203336,0.014493796568705319,0.01622736374900715,0.013871673804606825,0.01684209324861001,0.01596593569499603,0.012913634503574266,0.012452650389197774,0.013215684225575853,0.009327137124702145,0.009120990309769657,0.011451495694996025,0.012516110881652108,0.013429516886417785,0.00467814837172359,0.025051627990468627,0.014271477490071483,0.018990039682287532,0.027877133884034937,0.02903587561556791,0.027353350119142174,0.02000468625893566,0.01203158386020651,0.014865787895154883,0.014666164003177122,0.015484342621127878,0.017473995361397928,0.011931273677521843,0.010009211755361399,0.011195537315329624,0.011130088864177922,0.012515563780778395,0.015444286989674342
Clths,0.012095552476568704,0.010056867698173152,0.008813509648927721,0.009715282007942814,0.009759026357426525,0.01716119344241461,0.01758117218109611,0.013649563965051627,0.01392427266084194,0.03075292991898332,0.015976928641779183,0.016976240088959493,0.024043713734710086,0.01314318520095314,0.012129343949166005,0.011724563444003177,0.01260040469579031,0.014660424679904685,0.01637918570929309,0.012374454182684668,0.01694868405401112,0.016128983879269265,0.013816169505957107,0.013844504235107226,0.013791928667196187,0.011564053216838762,0.0073387591548848274,0.011794422506751386,0.012805367803018271,0.012925170859412236,0.004295162281175535,0.025471928057188238,0.0149350384305004,0.018878758830818108,0.02668962042255759,0.02885212330420969,0.02646578863860206,0.018906982494042893,0.012164681874503572,0.015498133737887212,0.015366140168387605,0.016167478144559176,0.01975684287847498,0.01188011757267673,0.009941067996822876,0.011350199625099283,0.012519494919777604,0.012797423631453532,0.016494368730738684
