,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.02512479431135822,0.006314236341540906,0.007907930341540905,0.004753006652899126,0.007293621620333597,0.007793175461477362,0.009117397375694992,0.008134311857029388,0.00813913888482923,0.007377222741858617,0.008106087863383637,0.008690154862589356,0.010518545023034153,0.010452681348689437,0.007920696193804606,0.00715474904845115,0.009875947172359014,0.013153451188244635,0.014262878779984113,0.009306017610802225,0.011418671961874504,0.010388240538522636,0.011764244189038918,0.009492962827640984,0.009509192881652105,0.00729403103415409,0.008943891501191424,0.014249349553613979,0.012722177974582999,0.008854689023034152,0.007526954169976173,0.010767338476568704,0.0076360088069896736,0.0093769350420969,0.01206922441143765,0.011323677423351865,0.013751870927720409,0.010629533529785544,0.009728467097696585,0.011683405429706119,0.011054791355043685,0.009177409734710085,0.010146031931691817,0.007566385110405083,0.005979529872915009,0.008663731976171565,0.007274665410643367,0.01068638421763304,0.008213128773629865
Food ,0.006314236341540906,0.010172186006354247,0.0077744286100079425,0.00503655177760127,0.008536012756155677,0.007647343477362987,0.009433530586179507,0.00826700165528197,0.00864034964892772,0.008530221331215249,0.008145936600476569,0.008134506271644162,0.0104459962446386,0.01131431422875298,0.008467962576648131,0.007241342840349486,0.009682435258141383,0.012590945399523427,0.014198680851469418,0.009155223221604449,0.011195702335186655,0.010374265158061953,0.011386425688641778,0.009653531818903893,0.009579164125496425,0.008430243412231928,0.010384249753772837,0.013048623307386814,0.012428579737887212,0.009329944432088956,0.007770330214455917,0.010797476239872915,0.007709311472597299,0.009270867016679903,0.010957792789515485,0.010929277830023827,0.012685120455917395,0.00995407547418586,0.009420067758538523,0.011817098735504369,0.010740592079428119,0.009144491475774426,0.010281655858617952,0.007335829930103255,0.006045088903891979,0.008742273355043685,0.006307177296266877,0.009951563137410644,0.008343717726767275
Soda ,0.007907930341540905,0.0077744286100079425,0.03983586894360602,0.007475809880857823,0.008977492867355042,0.008988679666401907,0.010475647021445591,0.009153431612390787,0.01044164041302621,0.009280995456711677,0.009215059698173154,0.009640874630659251,0.011832198347895152,0.01326792602065131,0.009832286894360606,0.00883507606036537,0.011160834328832407,0.01565451585385226,0.01623392352660842,0.012987194567116759,0.012629837585385224,0.011316381842732329,0.013629077378872118,0.010528931374106433,0.011880019173947575,0.0072496239872915005,0.008478862557585384,0.015034555202541698,0.014049855647339158,0.010729963876092135,0.008547229928514694,0.011524926687847497,0.008952256235107226,0.010263890023828437,0.011864215996822873,0.011561490675139003,0.013446402970611592,0.011119710198570294,0.011221167720413025,0.0131386943923749,0.011950806322478157,0.010411355075456713,0.0118549864177919,0.008210280524225578,0.006707605639396345,0.009797620095313741,0.008724375440826054,0.012089017617156472,0.009608325385226369
Beer ,0.004753006652899126,0.00503655177760127,0.007475809880857823,0.022796078119142173,0.006297827768069895,0.005714441645750595,0.007027886951548848,0.006437774881652105,0.006498510335186657,0.0067866709960285945,0.005757964447974583,0.006068545277204128,0.00822179489118348,0.008375740695790307,0.00620148938522637,0.0055484783351866535,0.0071312938522637,0.009580225092930895,0.009553959148530581,0.006727408692613184,0.008064223796664018,0.007828797280381255,0.008626557877680697,0.007628318538522638,0.005754755215250197,0.0047544890738681475,0.005934847402700556,0.008605215199364573,0.007110493121525019,0.005727727942811755,0.0059216053375695,0.00861424278316124,0.00592743499285147,0.006835619011914217,0.008985998354249401,0.00858155551389992,0.010007829210484513,0.00804295422398729,0.007444315513899921,0.008347433575853852,0.008187333305798253,0.006922167364575058,0.00843991754090548,0.006008433111993644,0.004392800921366163,0.00676002152184273,0.004831063911040507,0.007858549579030977,0.006553311161239078
Smoke,0.007293621620333597,0.008536012756155677,0.008977492867355042,0.006297827768069895,0.057998912247815726,0.01091685714058777,0.011372534900714852,0.009798573566322476,0.008788481969817316,0.0095730335822081,0.009442672978554405,0.009976511580619539,0.012739927625099286,0.013396783971405882,0.01070358036536934,0.008018378268467038,0.011321037569499605,0.015102858570293889,0.017693479745830024,0.011094293343923747,0.013268964447974582,0.011434988324066718,0.013459691548848293,0.011798070945194597,0.009510935297855442,0.008311353899920573,0.009814481779189834,0.015180437045274024,0.014142999444003178,0.009912106910246228,0.010794807370929308,0.012405154964257347,0.009535013820492455,0.010839469150119142,0.0139563842573471,0.013265284447974585,0.015326427942811756,0.01180116115965052,0.012554339920571884,0.015392222335186652,0.013431543733121524,0.010472219761715649,0.012545639348689437,0.008539229308975377,0.007790615742652899,0.011174053328038124,0.006712403971405876,0.01221936570293884,0.010520342128673548
Toys ,0.007793175461477362,0.007647343477362987,0.008988679666401907,0.005714441645750595,0.01091685714058777,0.02366341288482923,0.01292036971564734,0.010785776486100077,0.01105420672915012,0.011068844594122319,0.010232680714853056,0.01133222351389992,0.014563230347895155,0.014483067328038121,0.010047116374900715,0.009980774173153297,0.01310340240667196,0.017776345069102462,0.01818129576489277,0.013318347834789515,0.015226679142176331,0.013464826867355045,0.015466006320889595,0.012033129372517874,0.012816344198570293,0.009832863339158063,0.011791603240667196,0.01584624223669579,0.015650087696584592,0.011115037966640191,0.0089510295949166,0.014899693783955519,0.01040537815409055,0.012358821958697381,0.016901065081810957,0.015845974592533757,0.01890950519936457,0.014380072563939632,0.01236961186020651,0.01602170355202542,0.01465430348848292,0.01229889375059571,0.013942229335980938,0.009743199855440827,0.007582617736298651,0.01102979020333598,0.00871246238602065,0.013575166981731532,0.011573890009531376
Fun  ,0.009117397375694992,0.009433530586179507,0.010475647021445591,0.007027886951548848,0.011372534900714852,0.01292036971564734,0.021624785092930893,0.012378246239872914,0.013255445521842726,0.013459298891183477,0.012257153550436854,0.012521190138204923,0.016305743294678317,0.017107634262112786,0.012461285826846705,0.012035198335186653,0.0147132362192216,0.01988872850833995,0.020799265741064332,0.01402115550754567,0.017204302017474186,0.015259823078633829,0.017704455923749005,0.014369369086576645,0.013953220092136617,0.010915997191421764,0.012471361842732325,0.018503420219221602,0.018673311358220812,0.012428538649722001,0.010476772390786338,0.017658778478157267,0.012029283857029387,0.014087068638602063,0.018649571952343128,0.017773785823669577,0.02126392884511517,0.016151055828435262,0.014632989413820493,0.017750206379666403,0.017113212892772043,0.01386850013661636,0.017028214919777598,0.01191845074503574,0.009140764861000792,0.013068709337569498,0.010155062640190629,0.015797955710881648,0.0131854506370135
Books,0.008134311857029388,0.00826700165528197,0.009153431612390787,0.006437774881652105,0.009798573566322476,0.010785776486100077,0.012378246239872914,0.019628336209690227,0.011330307780778393,0.010806515291501192,0.010482782017474187,0.010743965871326451,0.013709129232724382,0.014534582007942809,0.010678643596505163,0.009600540486100081,0.012544317760127086,0.01625456644638602,0.01739392351389992,0.012071078214455916,0.01441813715647339,0.013101223088165212,0.015481424276409849,0.012473688927720411,0.012142608282764098,0.008655645458300238,0.00879789451945989,0.015596161340746628,0.014373181016679904,0.010428183606036536,0.00965669054805401,0.015422188857823671,0.010230152762509928,0.01219192910881652,0.015531141798252579,0.014872374627482131,0.017535319609213663,0.013459270630659251,0.013177711370929308,0.01566782666878475,0.014588956359015092,0.011777766843526608,0.014408179199364575,0.010171437111993647,0.008060533963463064,0.011786514430500395,0.008221105220015887,0.013172305559968227,0.011234169814138205
Hshld,0.00813913888482923,0.00864034964892772,0.01044164041302621,0.006498510335186657,0.008788481969817316,0.01105420672915012,0.013255445521842726,0.011330307780778393,0.01940350197934869,0.012317494888006354,0.011020483685464651,0.011228074713264495,0.014627707806195394,0.01599949497696584,0.011467604810166798,0.010495524943606036,0.013282706020651312,0.018231005331215244,0.019976020467037333,0.013273557127879268,0.016101246004765687,0.014832424063542496,0.016681437242255754,0.013062037331215252,0.013478131227958698,0.00996745962192216,0.013155213057982526,0.017838273086576647,0.016804050293884036,0.01196776648133439,0.009802406989674346,0.015570191059571086,0.01118357361080222,0.012924337645750598,0.017103498624305005,0.016308519580619543,0.01981061408737093,0.014757879656870533,0.013809581439237486,0.017045372130262113,0.015265543154884828,0.01289616701509134,0.015217413299444005,0.01059344372359015,0.008286595806195394,0.012003537868149325,0.009196013490071485,0.014443240158856233,0.01179802054964257
Clths,0.007377222741858617,0.008530221331215249,0.009280995456711677,0.0067866709960285945,0.0095730335822081,0.011068844594122319,0.013459298891183477,0.010806515291501192,0.012317494888006354,0.018223654811755367,0.010728231548848293,0.010992697734710087,0.014441325826846704,0.015670601645750595,0.011375336991262905,0.011244113747418587,0.01362978204924543,0.018707908263701348,0.01951461011596505,0.014014029680698965,0.01590903517077045,0.014676748206513109,0.016156314897537726,0.013117295091342336,0.013954733178713263,0.010811293350277997,0.012901368832406671,0.01739610013661636,0.01690534792692613,0.012137343828435261,0.009553040984908659,0.015299192476568703,0.010679519644162033,0.013168823186656072,0.01685236897220016,0.01615137339475774,0.019087228905480542,0.014740201188244633,0.013537463434471802,0.016776246309769656,0.01566463442732327,0.012945069312152504,0.016487378370135024,0.010546631656870531,0.008255264368546464,0.011730673861795077,0.009237422754567117,0.01441760562351072,0.011742745404289117
