,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.05676930784908657,0.008903230555996818,0.00872795903256553,0.009501472293884034,0.01100414410007943,0.01541162681652105,0.01812333045274027,0.011854967361397935,0.013891249467831613,0.012948654381254964,0.015804489864972196,0.017946431275615567,0.024815758027005558,0.01228166539158062,0.012484755450357427,0.012299461615567912,0.012229975572676728,0.014410603706115967,0.016744709761715645,0.012792108881652102,0.015959590517871325,0.01590137783161239,0.013863352374900715,0.015428119753772836,0.012975565872915009,0.00906465641461477,0.011413886182684666,0.012456359833200953,0.011796318428911835,0.013843691928514694,0.005269728362192215,0.025165279015091333,0.014780341253375696,0.01897121678792692,0.027177211034154082,0.027603505567911045,0.02673590440508341,0.01954483526926132,0.011510999485305796,0.014369153342335184,0.01508714080222399,0.015811396284352658,0.01753706952819698,0.013052934976965849,0.009644769812549641,0.010916312382843527,0.011268616818109613,0.012707285599682283,0.016378024389197773
Food ,0.008903230555996818,0.014675783947577441,0.006437568347895155,0.00709523864177919,0.008667488125496427,0.01016179308181096,0.011898861540905479,0.009625722462271648,0.010552065321683873,0.010970089920571885,0.011449301080222398,0.01142940228752978,0.016584680111199363,0.010206441016679904,0.008487337982525813,0.009105575814138204,0.00924692132644956,0.010984903010325654,0.012172413812549644,0.009172213034154088,0.012073964344718031,0.011176278895949163,0.010822815536139792,0.012000994098490866,0.010524441564733915,0.0064050028355837965,0.0014422246227164418,0.0075832803097696565,0.00768960335980937,0.010099607061159647,0.005185177887212074,0.016190079269261318,0.010861921739475774,0.012579784622716441,0.016980028546465454,0.018046381691818898,0.016992163677521845,0.012865474360603653,0.009273774138204925,0.0118256075694996,0.011548888951548847,0.010333830953137411,0.013014488292295475,0.008592803018268464,0.007663693129467833,0.009626517593328039,0.008186811969817315,0.008855340214455916,0.011251168999205715
Soda ,0.00872795903256553,0.006437568347895155,0.04698481603018269,0.008131267401111994,0.00930571817474186,0.008396901796664021,0.008768809658459095,0.008049349124702143,0.008045469515488481,0.008801411204130262,0.010206133645750595,0.009364848177918984,0.01283856206195393,0.007267358290706908,0.006354310875297854,0.00967195880381255,0.007642201720413025,0.00783479973471009,0.01027822442414615,0.004633048961080223,0.009582412948371723,0.008586597656870532,0.00927774719618745,0.00947265204924543,0.007370468779984114,0.004760844595710883,0.0052283048959491625,0.007058089936457505,0.005600674870532168,0.010593682841938044,0.004942434446386022,0.012315587132644957,0.008279175248610007,0.009765407478951547,0.012998432956314532,0.013610258133439239,0.012707532554408258,0.010096683339158061,0.00756570591898332,0.010149423715647343,0.008889059436060366,0.008480152598888005,0.010618792419380461,0.006683051577442414,0.006356742044479746,0.008098622025417,0.007414599693407467,0.006831855258141384,0.007279722276409849
Beer ,0.009501472293884034,0.00709523864177919,0.008131267401111994,0.03291311836536935,0.0070587487672756155,0.007521488735504369,0.009549283653693407,0.006967178563939633,0.007956182430500397,0.009912890845115168,0.009886892025416996,0.009981175110405083,0.013283713744241463,0.0075774175949166,0.006928993715647338,0.006333202022239871,0.007322542584590945,0.00779780391898332,0.00997079597299444,0.006261036090548052,0.009619584033359808,0.008916231731532961,0.007846673232724385,0.009484783820492455,0.006053765247021446,0.005423992799046862,0.004415719281969814,0.007496489094519458,0.005848522555996824,0.009356089739475774,0.004572542773629866,0.012860479301032566,0.00955107577601271,0.010386956015885624,0.01424353848133439,0.01445206224781573,0.014216843108816518,0.00998291898014297,0.007729313747418589,0.006713259969817315,0.009088750508339951,0.009210309926926131,0.01126682060683082,0.007574562528991262,0.006001755397934869,0.008062826711675934,0.0069321433725178724,0.007185023185067512,0.009268880011119937
Smoke,0.01100414410007943,0.008667488125496427,0.00930571817474186,0.0070587487672756155,0.0940674618760921,0.009159064020651312,0.012644442986497218,0.008113775685464654,0.009677165845909452,0.010102267915806195,0.013169665464654486,0.010999422697378868,0.016664270528991266,0.011735121753772839,0.007968711002382842,0.008192582314535344,0.00832040454805401,0.008619620417791895,0.010733611747418588,0.006757293726767277,0.010150002654487688,0.009183345361397933,0.011087770579825261,0.011101939992057186,0.00864320183796664,0.007967396049245436,0.005193581909451943,0.008168942231930104,0.009874218857823669,0.012954887099285148,0.007703855669579031,0.011701083717235902,0.010903312659253372,0.010166331005559968,0.011849725092930901,0.013016145377283555,0.011048656652899131,0.010248512886417791,0.010243581502779984,0.013804783270849882,0.010041039896743447,0.009200195490071486,0.011852707526608419,0.006737978122319299,0.008098420996028595,0.010244956036536936,0.00624147292613185,0.00708965033359809,0.010587653046862586
Toys ,0.01541162681652105,0.01016179308181096,0.008396901796664021,0.007521488735504369,0.009159064020651312,0.04296048287688642,0.02293737226370135,0.015818470808578233,0.016758116981731533,0.01907943450833995,0.01806061726767275,0.022522730560762507,0.03070783411914218,0.015723317178713263,0.014750123647339155,0.014408458740270054,0.015482863753772832,0.018768213952343134,0.01998280842732328,0.01607247429864972,0.021838504624304998,0.02048086159650516,0.01721654926131851,0.017583283486894363,0.014250162330420967,0.007819817637807784,0.0066280841175536155,0.012471056274821287,0.011095796220810165,0.014306877965051625,0.003290487186656075,0.034309005369340735,0.017685043604447975,0.02433863620015886,0.03742560750754567,0.03922927406671961,0.037318789631453526,0.026599982719618744,0.014024164822875296,0.01848668883081811,0.018379098308181095,0.02008116046227164,0.022819935771247024,0.015209038710087375,0.010760481409054804,0.012015035575853851,0.01332083132168387,0.017033550079428122,0.02022968874185862
Fun  ,0.01812333045274027,0.011898861540905479,0.008768809658459095,0.009549283653693407,0.012644442986497218,0.02293737226370135,0.04213468937251787,0.017826627259729944,0.018504514122319304,0.019827081207307386,0.020650258808578233,0.02522006277998411,0.036603456648133435,0.017443037108816523,0.015969556536934076,0.015270066528991261,0.017503116219221602,0.02029564937251787,0.02226495545671167,0.017915254741858615,0.02358674049245433,0.023462508181096103,0.019816221445591736,0.019419786814932487,0.015015630595710882,0.009095873804606828,0.007636719745830021,0.011809928959491662,0.011535164320889595,0.016421738554408268,0.005218192851469421,0.039514516155679115,0.019882370802223985,0.027146747037331217,0.04162966713264495,0.044257219920571876,0.041459174106433676,0.029816108149324855,0.01624719002382844,0.021099537378872123,0.02147827053216839,0.02176863984114376,0.025123631104050827,0.017026770738681498,0.012293472724384432,0.014538583415409053,0.015066354853057982,0.019162690198570295,0.024284596632247808
Books,0.011854967361397935,0.009625722462271648,0.008049349124702143,0.006967178563939633,0.008113775685464654,0.015818470808578233,0.017826627259729944,0.02791643424305004,0.01392737213661636,0.015235538525814137,0.01589958376489277,0.01694075563463066,0.025099033220015887,0.01323815776965846,0.011981193969817314,0.012718837010325655,0.012955454363780776,0.01534542935980937,0.016426771644162032,0.012567478274821284,0.017695227822081012,0.016814250119142175,0.01482430760921366,0.013514096759332803,0.011923524476568704,0.008143923688641778,-0.0010581893756949955,0.009107596584590944,0.01213180164257347,0.012372344949960284,0.005200508683081812,0.027447284988085775,0.015733332781572677,0.01943207534868944,0.028587666471803025,0.030705051898332007,0.02931654183002383,0.021284917629864966,0.012535611126290704,0.01641752035901509,0.015724291548848298,0.015624505343923746,0.018844771615567905,0.01211879325178713,0.010051549353455123,0.011577946703733119,0.01108957127561557,0.01412372868943606,0.01699475244162033
Hshld,0.013891249467831613,0.010552065321683873,0.008045469515488481,0.007956182430500397,0.009677165845909452,0.016758116981731533,0.018504514122319304,0.01392737213661636,0.023528331501191414,0.015595305226370135,0.015899501763304208,0.018255625035742653,0.02589861401111994,0.014891793772835586,0.012693051850675135,0.014024617537728356,0.014378538204924542,0.017013788117553615,0.018838664209690232,0.015178695250198574,0.018929621953931688,0.0179467045274027,0.016014453216838757,0.015268259666401907,0.01424073261318507,0.007892823478951549,0.0069319789038919805,0.013165388498808576,0.010913610929308976,0.014425885115170772,0.005898413502779984,0.02791963243844321,0.015572774233518662,0.020451166640190626,0.030189150754567115,0.03101717636219222,0.0301642329785544,0.021828533788721204,0.01370838900714853,0.018166336616362192,0.01749716819698173,0.01664986751389992,0.01963735297855441,0.013397061699761716,0.010701854646544875,0.012545976457505955,0.011723757903097695,0.014538840984908659,0.017338203812549642
Clths,0.012948654381254964,0.010970089920571885,0.008801411204130262,0.009912890845115168,0.010102267915806195,0.01907943450833995,0.019827081207307386,0.015235538525814137,0.015595305226370135,0.03291916590786338,0.01665119737887212,0.017884523437648934,0.026015397798252578,0.015249059113582205,0.013135647574265288,0.014517108500397141,0.01492344887847498,0.017622504557585388,0.019366718482922953,0.014075860274821286,0.019209851585385223,0.018215786902303414,0.017081327466243048,0.01753357088959491,0.014310585593328037,0.008281388401906275,0.004527140740270052,0.014087946409849087,0.013826568853057985,0.01385801961397935,0.005204092918189037,0.02884372212867354,0.016508353196187448,0.020798879847498012,0.029185002443208888,0.031446016084193805,0.029356761316918185,0.020996743996822876,0.014009710703733125,0.01836894657188244,0.0191684934471803,0.01755544842414615,0.02274850631294678,0.014101953111993647,0.010708678651310564,0.013034451874503574,0.013389829834789516,0.01513680498014297,0.018724447401111993
