,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,0.034503961137410645,0.007014000946783159,0.006880754757744238,0.005108169397934868,0.00820891891342335,0.009288037102462274,0.011125814131850676,0.009209351498014298,0.009530985791898332,0.008999480972200161,0.009918596740270057,0.010668933756949958,0.014038227240667197,0.010879174360603655,0.00825488512787927,0.012037230468625893,0.010466853972994442,0.013024887078633836,0.013224794910246224,0.009382660841938048,0.012098376743447183,0.01070733483717236,0.012618593003971402,0.01116786399364575,0.008522531914217634,0.007348791383637808,0.00646244008895949,0.014014612695790308,0.009398973718824463,0.0092581829070691,0.008550203710881651,0.014115468295472599,0.009417616851469421,0.011556786185861792,0.014289946490865764,0.01417127299761716,0.016241756841938047,0.013048030347895158,0.009409888698967434,0.012126758970611594,0.011868252365369342,0.009747260536934073,0.011660427984114374,0.008892131488482924,0.00601690985861795,0.009421287212073073,0.005929710494042891,0.010514483151707705,0.011162220803812548
Food ,0.007014000946783159,0.012261492003177128,0.007494070754567116,0.005319503980937251,0.010549417404289118,0.009052073162827641,0.012090409302621131,0.01003827403971406,0.010162306363780777,0.009858388454328832,0.010289800489277204,0.010159113613979349,0.014435640362192213,0.012106213057982526,0.008885080235107225,0.010992480635424939,0.010734730954725973,0.013768917579030973,0.014175782900714853,0.008638096489277202,0.012762449499602858,0.011203102875297855,0.01344299872279587,0.011710570999205718,0.008474651914217634,0.007282693210484512,0.0020856454900714866,0.011717873505957108,0.012161770891183473,0.009034655790309768,0.009088710144559175,0.014502980130262107,0.0091814800127085,0.011305118449563147,0.01448842391739476,0.014248927294678316,0.016497762783161236,0.01286989802065131,0.010374137976171566,0.013948263370929309,0.01275735752819698,0.00996941132327244,0.012412232940428909,0.008686867818903892,0.006352057849086576,0.010292586719618744,0.006101518087370929,0.010721375065925338,0.010929929397934867
Soda ,0.006880754757744238,0.007494070754567116,0.03851227964257347,0.00731835131056394,0.010817628117553612,0.008925605758538522,0.011050997053216839,0.009705691318506751,0.01066302203335981,0.009352882549642573,0.00937762779984114,0.009340547482128673,0.012948158506751389,0.011722520683081808,0.008381835782366958,0.010746412509928515,0.010403633097696584,0.014122975877680697,0.01365104,0.008583835853852266,0.011473685456711675,0.010164672152501985,0.013513866338363783,0.008919004884829228,0.009206632851469419,0.004584387212073072,-0.005824076814932488,0.011418871183478951,0.010745960555996824,0.0081278938522637,0.008475516735504368,0.013073300778395554,0.008832656997617159,0.010319996806989674,0.013054016393963457,0.0128804451310564,0.014155427625099285,0.011747365274027002,0.010330287974583003,0.013305997974583001,0.011394698729150117,0.00899328504368546,0.012009100007942811,0.007942273733121523,0.005942765313741064,0.009791046671961873,0.0062198880937251785,0.010715443844320886,0.010208852962668784
Beer ,0.005108169397934868,0.005319503980937251,0.00731835131056394,0.027656427888800628,0.00739630366322478,0.006650729890389197,0.0083090477299444,0.007131108876886417,0.007422267698173154,0.007763216206513105,0.007123986414614772,0.007477488705321685,0.010402746033359809,0.008849350436854645,0.0069912796155679096,0.00815625955520254,0.008223699898332009,0.009983567666401905,0.00977348402859412,0.006286584781572676,0.009130225496425734,0.008849759046862589,0.010180813782366956,0.008921930411437648,0.005327596250992851,0.003569341725178713,0.0016872869356632245,0.009112297429706118,0.00759166852422558,0.006551679459888801,0.00711767076409849,0.011128232044479746,0.007383230735504367,0.008364046932486095,0.011368932924543287,0.011086505880857828,0.012698774697378868,0.009844503517077042,0.008313154942017474,0.009095954316123905,0.009313105963463063,0.007396641140587767,0.009907593083399523,0.006431611949166005,0.004380262598888005,0.00732988937251787,0.0044323280158856245,0.00803136318347895,0.008565263409054802
Smoke,0.00820891891342335,0.010549417404289118,0.010817628117553612,0.00739630366322478,0.06797651694360603,0.013784367618745037,0.015631723679110403,0.012991128908657666,0.01173264342494043,0.01173736360921366,0.013097529416997617,0.013451972231930103,0.019623248368546464,0.016706199269261313,0.013406551180301828,0.011228052263701351,0.01342241823034154,0.016945646792692618,0.02035966636378078,0.009820965559968227,0.016333254328832404,0.014532515552025413,0.017507602312946784,0.013433703707704529,0.011116048260524227,0.011732139660047663,0.0018358827895154882,0.017914299113582208,0.019540095942811753,0.013200935504368544,0.014178961550436853,0.01849928094042891,0.0128486447466243,0.014911460625893564,0.019477428397140586,0.017918597064336773,0.02107471566640191,0.01645425827482129,0.014326392686258937,0.01917036027323272,0.016556503485305796,0.01335025577124702,0.015949711606036535,0.0108398101223193,0.009141835958697378,0.014189047148530576,0.007242619342335185,0.014968588727561558,0.014353172733915804
Toys ,0.009288037102462274,0.009052073162827641,0.008925605758538522,0.006650729890389197,0.013784367618745037,0.03110300017633041,0.01840885012073074,0.01477778961556791,0.014422805982525816,0.014823419963463062,0.013785748003177124,0.015855287783955514,0.022759273181890388,0.017837256886417796,0.01241328102144559,0.016582308951548847,0.01619153423510722,0.02031590977124702,0.020303007142176328,0.013210689674344718,0.019773724932486105,0.017722951167593325,0.02057721298808578,0.01606622060206513,0.012301419030976965,0.009545759532962668,0.0033669727895154888,0.015510318732327244,0.016753542217633043,0.012794898681493248,0.012169458222398729,0.025657119193010326,0.014948971196187452,0.017942148266878476,0.026603323170770455,0.025247751742652896,0.029548183895154886,0.022057593715647333,0.014996852130262112,0.021599881218427326,0.019036547281969816,0.01588135090230341,0.018980559302621127,0.013029517231135821,0.008917001351866561,0.01377485842732327,0.00883580835742653,0.017322165884034943,0.017026082408260524
Fun  ,0.011125814131850676,0.012090409302621131,0.011050997053216839,0.0083090477299444,0.015631723679110403,0.01840885012073074,0.03342918025575854,0.01777851447656871,0.018366058595710884,0.01823030345830024,0.017397362649722,0.018713248959491655,0.026593041283558386,0.021424235409054804,0.015671584881652108,0.020278895416997626,0.01902640089118348,0.023867580557585387,0.024986902996028595,0.015693032930897542,0.023449589714058774,0.021157946497220012,0.02527614315488483,0.020753963604447978,0.013373551930103256,0.009872339294678317,0.0019799981111993663,0.01820291495154885,0.019885570907069106,0.015591116473391581,0.014764766085782368,0.03071604078157267,0.017905052435266085,0.02158073003018269,0.03020498143923749,0.029431031138999204,0.034330272727561555,0.02519506786973788,0.01884494016838761,0.02480636557108817,0.024675621785544083,0.01840926813820492,0.024167066149324862,0.016739129844320893,0.010903884243050043,0.01775489118347895,0.010207663607625098,0.020886117845909453,0.021134933305798256
Books,0.009209351498014298,0.01003827403971406,0.009705691318506751,0.007131108876886417,0.012991128908657666,0.01477778961556791,0.01777851447656871,0.026593585542494042,0.014457404953137406,0.014172064258935663,0.014151480800635424,0.014923766703733122,0.021033603469420178,0.017551017045274023,0.012802962603653692,0.0168913591183479,0.015253177018268463,0.018940678050833992,0.01987123931374106,0.012393356997617157,0.018621622565528198,0.016783468880063542,0.020314377455123107,0.015744338073073873,0.012100753772835584,0.010050734039714057,2.0077812549640122e-05,0.015971931447180305,0.01662592288800635,0.012716512470214453,0.01294073897220016,0.024606902487688643,0.01419508540746624,0.01706981220333598,0.023669893674344716,0.022652811510722796,0.026762843663224775,0.02028309987609214,0.015300410115965047,0.020959797571088165,0.018864361337569496,0.014658517154884832,0.019252490187450354,0.012754328071485306,0.00887675247498014,0.014540297918983322,0.0077412892025417014,0.016539085324860998,0.017003195088165203
Hshld,0.009530985791898332,0.010162306363780777,0.01066302203335981,0.007422267698173154,0.01173264342494043,0.014422805982525816,0.018366058595710884,0.014457404953137406,0.02279565235266084,0.015436662465448767,0.014079643444003174,0.014871904400317718,0.0215042500841938,0.018838635107227955,0.013398916597299443,0.017588125607625096,0.016266792861000797,0.020733906347895154,0.02216962045432883,0.013670314884829227,0.02027235245432884,0.018146796314535345,0.021748721995234314,0.01616441908498809,0.01301865226370135,0.010341062773629863,0.0021168983415409044,0.018062016158856234,0.017066071669579026,0.013866957235901513,0.012502367444003173,0.024272139717235897,0.015003445191421758,0.017729451126290707,0.025553243424940426,0.024197149375694987,0.02886223061477362,0.021298148155679108,0.016503592622716435,0.02232943685782367,0.020010299355043684,0.015827403999999996,0.020109897483717238,0.013702244514694201,0.009212453003971405,0.01469723247021445,0.008311894592533755,0.01680577967275615,0.016596513639396345
Clths,0.008999480972200161,0.009858388454328832,0.009352882549642573,0.007763216206513105,0.01173736360921366,0.014823419963463062,0.01823030345830024,0.014172064258935663,0.015436662465448767,0.02312402239714059,0.013573693782366957,0.014403754471803022,0.02075348126449563,0.018034927958697374,0.013350036141382046,0.01784078996822875,0.01573712828752978,0.020781381726767276,0.021463793283558377,0.01351025399523431,0.019132191493248605,0.017713859857029394,0.020627219971405878,0.016524730918189037,0.011625736775218429,0.007430833839555199,0.0018831903208895945,0.017709117385226368,0.018431471138999206,0.013285612422557587,0.011895108954725973,0.023307368997617157,0.014168713448768862,0.01742005737569499,0.02419008122637013,0.023177213969817312,0.026529432778395545,0.019949239154884828,0.015155816158856238,0.021136047814138203,0.020134668241461477,0.015280589739475773,0.021333328732327243,0.013780038965845913,0.008872920233518662,0.014126329372517869,0.008490555896743447,0.016138146033359807,0.016915499240667195
